CustomerID,Lookalike1,Lookalike2,Lookalike3
C0040,"('C0115', 0.9976375966897801)","('C0007', 0.9932387643710712)","('C0092', 0.9887714553113783)"
C0041,"('C0051', 0.9996208383857081)","('C0053', 0.9962991157923928)","('C0023', 0.995932795914984)"
C0042,"('C0176', 0.9999807873764499)","('C0131', 0.9991914991644302)","('C0036', 0.9989404653033147)"
C0043,"('C0186', 0.998410799443969)","('C0005', 0.9967621275855256)","('C0159', 0.9964863306140398)"
C0044,"('C0074', 0.9998912408855077)","('C0066', 0.9988900129557866)","('C0167', 0.9968262731751903)"
C0045,"('C0143', 0.9978424580768431)","('C0173', 0.9978404835106229)","('C0028', 0.9973260458655319)"
C0046,"('C0122', 0.9993894236006553)","('C0068', 0.9974475659176939)","('C0059', 0.9958011310206004)"
C0047,"('C0024', 0.9986607575233964)","('C0194', 0.9976850047267093)","('C0098', 0.9971616447172802)"
C0048,"('C0011', 0.9999586489917822)","('C0107', 0.9998535955121334)","('C0152', 0.9993791122902724)"
C0049,"('C0098', 0.998499830768035)","('C0139', 0.9959859223743305)","('C0047', 0.9959307181815102)"
C0050,"('C0185', 0.9995551268940687)","('C0042', 0.9983645075532603)","('C0176', 0.9979909474371413)"
C0051,"('C0041', 0.9996208383857081)","('C0053', 0.9966609734549613)","('C0023', 0.9965837499564605)"
C0052,"('C0003', 0.9998062917147238)","('C0133', 0.9994632473692365)","('C0192', 0.9993937986940414)"
C0053,"('C0023', 0.9999448107927537)","('C0100', 0.9997811110692232)","('C0105', 0.9994153091811352)"
C0054,"('C0028', 0.9978299683740257)","('C0045', 0.9938853768639337)","('C0145', 0.9920967420463015)"
C0055,"('C0160', 0.9999854053133505)","('C0072', 0.9999388736248431)","('C0038', 0.9999206383984105)"
C0056,"('C0134', 0.9992304051221836)","('C0088', 0.996611031913949)","('C0106', 0.9966015336578672)"
C0057,"('C0105', 0.9998275792659523)","('C0100', 0.9994930054840054)","('C0023', 0.9991070987352102)"
C0058,"('C0033', 0.9996902933832242)","('C0020', 0.9987745302808152)","('C0015', 0.9877146473498224)"
C0059,"('C0068', 0.997983888778484)","('C0046', 0.9958011310206004)","('C0065', 0.993343463045711)"
C0060,"('C0014', 0.9997512176329124)","('C0198', 0.9870401092777673)","('C0063', 0.9829615189830124)"
C0061,"('C0073', 0.9999766652808615)","('C0167', 0.9998992233540253)","('C0197', 0.9998295692230436)"
C0062,"('C0132', 0.9998231876943897)","('C0197', 0.9996710185333025)","('C0073', 0.999305081635983)"
C0063,"('C0198', 0.9991470689612693)","('C0089', 0.9943106396822892)","('C0009', 0.9942780494172924)"
C0064,"('C0037', 0.9998760133675444)","('C0149', 0.9996386720833768)","('C0170', 0.9979012439703896)"
C0065,"('C0156', 0.9985895465709896)","('C0059', 0.993343463045711)","('C0068', 0.9925613610196458)"
C0066,"('C0044', 0.9988900129557866)","('C0074', 0.9980866871582246)","('C0167', 0.9919700070995371)"
C0067,"('C0016', 0.997140060489266)","('C0183', 0.99712510458297)","('C0154', 0.996624898991184)"
C0068,"('C0059', 0.997983888778484)","('C0046', 0.9974475659176939)","('C0122', 0.9969688203266648)"
C0069,"('C0086', 0.9999529456048125)","('C0164', 0.9998679496207137)","('C0103', 0.9994649169466909)"
C0070,"('C0135', 0.9999996642377711)","('C0166', 0.9982393686675999)","('C0199', 0.995474470197035)"
C0071,"('C0112', 0.9987652276781023)","('C0077', 0.9987131771601818)","('C0032', 0.997848595960704)"
C0072,"('C0160', 0.9999840154650883)","('C0055', 0.9999388736248431)","('C0038', 0.9997202222760545)"
C0073,"('C0061', 0.9999766652808615)","('C0197', 0.9999323585667854)","('C0132', 0.9998292960943361)"
C0074,"('C0044', 0.9998912408855077)","('C0066', 0.9980866871582246)","('C0167', 0.9978919209654364)"
C0075,"('C0017', 0.997114093992169)","('C0051', 0.9903284834270497)","('C0124', 0.9893269719211552)"
C0076,"('C0174', 0.9990313222426119)","('C0190', 0.9986940468563317)","('C0191', 0.9986339963248728)"
C0077,"('C0032', 0.9998894286309172)","('C0083', 0.9998449967902033)","('C0071', 0.9987131771601818)"
C0078,"('C0080', 0.9999993677343929)","('C0110', 0.9999875602885875)","('C0097', 0.9967379588847014)"
C0079,"('C0117', 0.999851041747027)","('C0026', 0.9984882422142876)","('C0125', 0.9948607958596961)"
C0080,"('C0078', 0.9999993677343929)","('C0110', 0.9999813190557955)","('C0097', 0.9966465738070309)"
C0081,"('C0179', 0.9999685986369136)","('C0127', 0.9997488816727873)","('C0057', 0.9975455895382215)"
C0082,"('C0087', 0.9984552883982262)","('C0188', 0.9962089164256184)","('C0013', 0.9957904063742581)"
C0083,"('C0032', 0.9999962565502103)","('C0077', 0.9998449967902033)","('C0071', 0.9976654727769529)"
C0084,"('C0162', 0.9978702016351175)","('C0093', 0.9976441754877444)","('C0021', 0.9960137824549675)"
C0085,"('C0120', 0.9999383295362518)","('C0129', 0.999748037281695)","('C0112', 0.9984434736353933)"
C0086,"('C0069', 0.9999529456048125)","('C0103', 0.9997351931412279)","('C0164', 0.9996632563401622)"
C0087,"('C0013', 0.9993449018438413)","('C0082', 0.9984552883982262)","('C0188', 0.9975909625494526)"
C0088,"('C0134', 0.9990706292069594)","('C0056', 0.996611031913949)","('C0106', 0.9942035633165697)"
C0089,"('C0063', 0.9943106396822892)","('C0167', 0.9908863953767242)","('C0074', 0.9907557719427742)"
C0090,"('C0162', 0.9970531540572449)","('C0136', 0.9959987157598983)","('C0021', 0.9955535736983783)"
C0091,"('C0181', 0.9998833056623464)","('C0118', 0.999767018565292)","('C0195', 0.9979177796477973)"
C0092,"('C0193', 0.9999998522487858)","('C0178', 0.999681990499642)","('C0146', 0.9993283846088742)"
C0093,"('C0162', 0.9979548850944192)","('C0175', 0.997929766038677)","('C0084', 0.9976441754877444)"
C0094,"('C0029', 0.9985957068503984)","('C0035', 0.9927597323558133)","('C0157', 0.9922856647341082)"
C0095,"('C0071', 0.9909752336688212)","('C0077', 0.9900168536102492)","('C0112', 0.9894412451685282)"
C0096,"('C0171', 0.998004628562497)","('C0148', 0.9966323548145617)","('C0187', 0.9948952922435754)"
C0097,"('C0110', 0.9971281136648935)","('C0078', 0.9967379588847014)","('C0080', 0.9966465738070309)"
C0098,"('C0139', 0.9993928776630578)","('C0049', 0.998499830768035)","('C0047', 0.9971616447172802)"
C0099,"('C0104', 0.9999705303693125)","('C0188', 0.999759433535672)","('C0102', 0.9994509135063377)"
C0100,"('C0023', 0.9999457397759375)","('C0105', 0.9999118969036622)","('C0053', 0.9997811110692232)"
C0101,"('C0021', 0.9999697912210189)","('C0145', 0.9999159716277447)","('C0162', 0.9989886190367354)"
C0102,"('C0104', 0.9996758353335934)","('C0099', 0.9994509135063377)","('C0004', 0.9989611987010023)"
C0103,"('C0086', 0.9997351931412279)","('C0069', 0.9994649169466909)","('C0111', 0.9992387290701171)"
C0104,"('C0099', 0.9999705303693125)","('C0102', 0.9996758353335934)","('C0188', 0.9995615851556191)"
C0105,"('C0100', 0.9999118969036622)","('C0057', 0.9998275792659523)","('C0023', 0.9997193641521921)"
C0106,"('C0056', 0.9966015336578672)","('C0193', 0.9964359817009935)","('C0092', 0.9964295893308206)"
C0107,"('C0011', 0.9999678578180878)","('C0048', 0.9998535955121334)","('C0152', 0.9998356780460199)"
C0108,"('C0012', 0.9997013915668136)","('C0155', 0.999432760314645)","('C0013', 0.9973924550133241)"
C0109,"('C0008', 0.9977162137280893)","('C0156', 0.9945960377032204)","('C0065', 0.9904648810390217)"
C0110,"('C0078', 0.9999875602885875)","('C0080', 0.9999813190557955)","('C0097', 0.9971281136648935)"
C0111,"('C0103', 0.9992387290701171)","('C0086', 0.998076379181772)","('C0119', 0.998001430277992)"
C0112,"('C0129', 0.9994438328457997)","('C0120', 0.9990012989964462)","('C0071', 0.9987652276781023)"
C0113,"('C0004', 0.9994643698045159)","('C0108', 0.9970789839899303)","('C0102', 0.9969348497559153)"
C0114,"('C0182', 0.9984748799682197)","('C0170', 0.9982771702684213)","('C0149', 0.9953354695002988)"
C0115,"('C0007', 0.998867285698473)","('C0040', 0.9976375966897801)","('C0159', 0.9957843595697036)"
C0116,"('C0034', 0.9997322559806243)","('C0154', 0.9976363614487487)","('C0047', 0.9962565535240514)"
C0117,"('C0079', 0.999851041747027)","('C0026', 0.99928819629355)","('C0125', 0.9964601761955453)"
C0118,"('C0181', 0.9999800959282845)","('C0091', 0.999767018565292)","('C0195', 0.9990774861475256)"
C0119,"('C0111', 0.998001430277992)","('C0103', 0.9947764391290508)","('C0121', 0.9935135728063538)"
C0120,"('C0085', 0.9999383295362518)","('C0129', 0.9999356711130789)","('C0112', 0.9990012989964462)"
C0121,"('C0010', 0.9979660597869211)","('C0199', 0.9963030040538211)","('C0119', 0.9935135728063538)"
C0122,"('C0046', 0.9993894236006553)","('C0068', 0.9969688203266648)","('C0194', 0.9969014790025075)"
C0123,"('C0140', 0.9990025099411576)","('C0128', 0.9983141189718207)","('C0186', 0.990637121832065)"
C0124,"('C0017', 0.9972490848170238)","('C0179', 0.996130602767048)","('C0081', 0.9959026160689521)"
C0125,"('C0035', 0.9994935635208123)","('C0026', 0.998922204157482)","('C0117', 0.9964601761955453)"
C0126,"('C0169', 0.9999975300875497)","('C0153', 0.9999244936471628)","('C0195', 0.9993193427814142)"
C0127,"('C0081', 0.9997488816727873)","('C0179', 0.9995399005391975)","('C0172', 0.9970897308800873)"
C0128,"('C0123', 0.9983141189718207)","('C0140', 0.9947264818428374)","('C0043', 0.990475032167525)"
C0129,"('C0120', 0.9999356711130789)","('C0085', 0.999748037281695)","('C0112', 0.9994438328457997)"
C0130,"('C0150', 0.9999980397134973)","('C0151', 0.9993666023834191)","('C0095', 0.9882415146330406)"
C0131,"('C0036', 0.9999830478550483)","('C0176', 0.9994215167901022)","('C0042', 0.9991914991644302)"
C0132,"('C0197', 0.9999765641446865)","('C0073', 0.9998292960943361)","('C0062', 0.9998231876943897)"
C0133,"('C0003', 0.9999144235166526)","('C0052', 0.9994632473692365)","('C0158', 0.9977520860949999)"
C0134,"('C0056', 0.9992304051221836)","('C0088', 0.9990706292069594)","('C0106', 0.9963016197426356)"
C0135,"('C0070', 0.9999996642377711)","('C0166', 0.9981904276121455)","('C0199', 0.995396262635591)"
C0136,"('C0022', 0.9996968669056987)","('C0090', 0.9959987157598983)","('C0200', 0.9941221054413436)"
C0137,"('C0001', 0.9999985812865336)","('C0152', 0.999991657616406)","('C0107', 0.9997532906038783)"
C0138,"('C0200', 0.9982295193906379)","('C0022', 0.9918273342129316)","('C0143', 0.9897954996031725)"
C0139,"('C0098', 0.9993928776630578)","('C0024', 0.9971652004344361)","('C0194', 0.9968570517098237)"
C0140,"('C0123', 0.9990025099411576)","('C0128', 0.9947264818428374)","('C0005', 0.9911118840916961)"
C0141,"('C0041', 0.9754084863631899)","('C0075', 0.9741949571924252)","('C0051', 0.9705932963194136)"
C0142,"('C0177', 0.9997438370664973)","('C0027', 0.9996341166654685)","('C0146', 0.9996162483741405)"
C0143,"('C0045', 0.9978424580768431)","('C0173', 0.9963586115866127)","('C0022', 0.9946744961087449)"
C0144,"('C0015', 0.999907468280869)","('C0036', 0.9899093250777472)","('C0020', 0.9896424228585786)"
C0145,"('C0101', 0.9999159716277447)","('C0021', 0.9997850033002862)","('C0162', 0.9983217926373682)"
C0146,"('C0027', 0.9999997869756269)","('C0177', 0.9999871494265019)","('C0178', 0.9999346544963981)"
C0147,"('C0113', 0.9894845980739797)","('C0184', 0.9885788009771045)","('C0004', 0.98473465315065)"
C0148,"('C0168', 0.9967391278487799)","('C0096', 0.9966323548145617)","('C0171', 0.996532464668051)"
C0149,"('C0037', 0.9999379983033673)","('C0064', 0.9996386720833768)","('C0170', 0.9992812564776995)"
C0150,"('C0130', 0.9999980397134973)","('C0151', 0.9994351059912451)","('C0095', 0.9881141088154484)"
C0151,"('C0150', 0.9994351059912451)","('C0130', 0.9993666023834191)","('C0095', 0.9853605735898302)"
C0152,"('C0001', 0.9999971194363196)","('C0137', 0.999991657616406)","('C0107', 0.9998356780460199)"
C0153,"('C0126', 0.9999244936471628)","('C0169', 0.9998947118865026)","('C0195', 0.9987905688899629)"
C0154,"('C0034', 0.9989592409094258)","('C0116', 0.9976363614487487)","('C0067', 0.996624898991184)"
C0155,"('C0012', 0.9999572653230463)","('C0108', 0.999432760314645)","('C0013', 0.9992571311225632)"
C0156,"('C0065', 0.9985895465709896)","('C0109', 0.9945960377032204)","('C0008', 0.9874981026135027)"
C0157,"('C0030', 0.9985587507487781)","('C0189', 0.9981360035435576)","('C0038', 0.9978697503875013)"
C0158,"('C0006', 0.9992057361775157)","('C0133', 0.9977520860949999)","('C0003', 0.9967900170174029)"
C0159,"('C0005', 0.999994355046566)","('C0186', 0.9996227504724217)","('C0007', 0.9990209833170246)"
C0160,"('C0055', 0.9999854053133505)","('C0072', 0.9999840154650883)","('C0038', 0.9998379800980819)"
C0161,"('C0084', 0.9957155440937652)","('C0162', 0.994572950760524)","('C0090', 0.993906431036328)"
C0162,"('C0021', 0.9993079357178214)","('C0101', 0.9989886190367354)","('C0145', 0.9983217926373682)"
C0163,"('C0153', 0.9976541588915409)","('C0126', 0.9967376127541836)","('C0013', 0.9966702199448028)"
C0164,"('C0069', 0.9998679496207137)","('C0086', 0.9996632563401622)","('C0103', 0.9988013947444002)"
C0165,"('C0102', 0.9980761623269846)","('C0104', 0.9979542569721249)","('C0099', 0.997790542247782)"
C0166,"('C0199', 0.9993583878994864)","('C0010', 0.998315680949909)","('C0070', 0.9982393686675999)"
C0167,"('C0061', 0.9998992233540253)","('C0073', 0.9997789075074538)","('C0197', 0.9994667173024664)"
C0168,"('C0006', 0.9980748049858132)","('C0148', 0.9967391278487799)","('C0158', 0.994810605806621)"
C0169,"('C0126', 0.9999975300875497)","('C0153', 0.9998947118865026)","('C0195', 0.99939886453769)"
C0170,"('C0182', 0.9999939720220361)","('C0149', 0.9992812564776995)","('C0037', 0.9987971812470506)"
C0171,"('C0187', 0.9992818109314668)","('C0096', 0.998004628562497)","('C0148', 0.996532464668051)"
C0172,"('C0019', 0.9999992888655773)","('C0127', 0.9970897308800873)","('C0081', 0.995130932603287)"
C0173,"('C0145', 0.9981390972561858)","('C0101', 0.9978693711177444)","('C0045', 0.9978404835106229)"
C0174,"('C0190', 0.9999748417920832)","('C0191', 0.9999659226888066)","('C0137', 0.9994189507487334)"
C0175,"('C0093', 0.997929766038677)","('C0084', 0.9951226363114068)","('C0101', 0.9950001995537492)"
C0176,"('C0042', 0.9999807873764499)","('C0131', 0.9994215167901022)","('C0036', 0.9992065480729064)"
C0177,"('C0027', 0.9999902454636351)","('C0146', 0.9999871494265019)","('C0178', 0.999863849802001)"
C0178,"('C0146', 0.9999346544963981)","('C0027', 0.9999269796554312)","('C0177', 0.999863849802001)"
C0179,"('C0081', 0.9999685986369136)","('C0127', 0.9995399005391975)","('C0057', 0.9980691563805087)"
C0181,"('C0118', 0.9999800959282845)","('C0091', 0.9998833056623464)","('C0195', 0.9987866529908318)"
C0182,"('C0170', 0.9999939720220361)","('C0149', 0.9991436121643656)","('C0037', 0.9986209114956921)"
C0183,"('C0016', 0.999998355245887)","('C0072', 0.9978894721726392)","('C0018', 0.9976700977264135)"
C0184,"('C0091', 0.9963193738685212)","('C0181', 0.9962570839177423)","('C0118', 0.9961635131143982)"
C0185,"('C0050', 0.9995551268940687)","('C0042', 0.9962152756269739)","('C0176', 0.9956573363664505)"
C0186,"('C0005', 0.9997093930389294)","('C0159', 0.9996227504724217)","('C0043', 0.998410799443969)"
C0187,"('C0171', 0.9992818109314668)","('C0048', 0.9984295646795909)","('C0011', 0.9978788210521462)"
C0188,"('C0099', 0.999759433535672)","('C0104', 0.9995615851556191)","('C0102', 0.9984837339311007)"
C0189,"('C0038', 0.9999911071516773)","('C0030', 0.9999728311692989)","('C0055', 0.9998586154910072)"
C0190,"('C0191', 0.9999993246649999)","('C0174', 0.9999748417920832)","('C0137', 0.9996355816581136)"
C0191,"('C0190', 0.9999993246649999)","('C0174', 0.9999659226888066)","('C0137', 0.999666279139103)"
C0192,"('C0031', 0.9999838210909447)","('C0052', 0.9993937986940414)","('C0025', 0.9991588205275956)"
C0193,"('C0092', 0.9999998522487858)","('C0178', 0.9996955510141553)","('C0146', 0.9993481566616349)"
C0194,"('C0024', 0.9998672018099204)","('C0047', 0.9976850047267093)","('C0122', 0.9969014790025075)"
C0195,"('C0169', 0.99939886453769)","('C0126', 0.9993193427814142)","('C0118', 0.9990774861475256)"
C0196,"('C0182', 0.9943035798838982)","('C0170', 0.9942205782912906)","('C0114', 0.9940115854794006)"
C0197,"('C0132', 0.9999765641446865)","('C0073', 0.9999323585667854)","('C0061', 0.9998295692230436)"
C0198,"('C0063', 0.9991470689612693)","('C0009', 0.9952920882407016)","('C0062', 0.9891211657008319)"
C0199,"('C0010', 0.9997530551885219)","('C0166', 0.9993583878994864)","('C0121', 0.9963030040538211)"
C0200,"('C0138', 0.9982295193906379)","('C0022', 0.9951511672018526)","('C0136', 0.9941221054413436)"
